SYMBOL	ENSID	CGC	CHROMOSOME	STRAND	LENGTH	TOTAL_MUT	CLUSTERED_MUT	CLUSTERS	SIM_CLUSTERS	SCORE	P_EMPIRICAL	Q_EMPIRICAL	P_ANALYTICAL	Q_ANALYTICAL	P_TOPCLUSTER	Q_TOPCLUSTER
MYOZ1	ENSG00000177791	False	10	-	897	3	2	1	382	113.80711874576981	0.067	0.2304	0.04700000782073629	0.17274620041720606	0.04700000782073629	0.1698670970769193
TPO	ENSG00000115705	False	2	+	3195	6	4	2	880	90.23689270621823	0.059	0.2304	0.05259618894008816	0.17274620041720606	0.15000000376569117	0.21672836504921295
MYO18B	ENSG00000133454	False	22	+	7704	8	2	1	436	42.67766952966369	0.081	0.2304	0.053500011162621264	0.17274620041720606	0.053500011162621264	0.1698670970769193
NAB2	ENSG00000166886	True	12	+	1575	3	3	1	884	241.42135623730945	0.01	0.17333333333333334	0.053980478089021476	0.17274620041720606	0.0075021254332162685	0.157918203065141
BLOC1S3	ENSG00000189114	False	19	+	606	2	2	1	438	170.71067811865476	0.084	0.2304	0.05700000829287359	0.17274620041720606	0.05700000829287359	0.1698670970769193
MROH9	ENSG00000117501	False	1	+	2712	2	2	1	417	170.71067811865476	0.075	0.2304	0.05700002998635677	0.17274620041720606	0.05700002998635677	0.1698670970769193
MAST4	ENSG00000069020	False	5	+	8407	3	2	1	445	113.80711874576981	0.083	0.2304	0.05800001757585494	0.17274620041720606	0.05800001757585494	0.1698670970769193
CNTN3	ENSG00000113805	False	3	-	3084	3	2	1	413	113.80711874576981	0.088	0.2304	0.060000016129476794	0.17274620041720606	0.060000016129476794	0.1698670970769193
C16orf46	ENSG00000166455	False	16	-	1206	2	2	1	417	170.71067811865476	0.091	0.2304	0.06250001357113338	0.17274620041720606	0.0625000135711334	0.1698670970769193
MTNR1B	ENSG00000134640	False	11	+	1258	3	2	1	403	113.80711874576981	0.09	0.2304	0.06450001215847914	0.17274620041720606	0.06450001215847916	0.1698670970769193
ROBO1	ENSG00000169855	False	3	-	5182	3	2	1	459	113.80711874576981	0.091	0.2304	0.06500000000000003	0.17274620041720606	0.06500000000000003	0.1698670970769193
GDE1	ENSG00000006007	False	16	-	1026	2	2	1	419	170.71067811865476	0.088	0.2304	0.06600002354363109	0.17274620041720606	0.06600002354363109	0.1698670970769193
PRODH2	ENSG00000250799	False	19	-	1613	4	2	1	433	85.35533905932738	0.098	0.2304	0.06750001652751175	0.17274620041720606	0.06750001652751175	0.1698670970769193
TSHZ2	ENSG00000182463	False	20	+	3133	5	2	1	507	80.0	0.075	0.2304	0.07132690872925462	0.17274620041720606	0.029500934876419065	0.16147880142882015
ADRM1	ENSG00000130706	False	20	+	1221	2	2	1	455	170.71067811865476	0.105	0.2304	0.07450007864480193	0.17274620041720606	0.07450007864480193	0.1698670970769193
SNAP47	ENSG00000143740	False	1	+	1484	2	2	1	430	170.71067811865476	0.105	0.2304	0.07649998598179492	0.17274620041720606	0.07649998598179492	0.1698670970769193
RREB1	ENSG00000124782	False	6	+	5226	5	2	1	359	68.2842712474619	0.115	0.2304	0.07649998624053003	0.17274620041720606	0.07649998624053003	0.1698670970769193
NSUN5	ENSG00000130305	False	7	-	1416	3	2	1	495	113.80711874576981	0.117	0.2304	0.07700003187829747	0.17274620041720606	0.07700003187829747	0.1698670970769193
OR4C15	ENSG00000181939	False	11	+	1110	2	2	1	428	170.71067811865476	0.112	0.2304	0.07749999632121543	0.17274620041720606	0.07749999632121543	0.1698670970769193
LATS2	ENSG00000150457	False	13	-	3264	2	2	1	416	170.71067811865476	0.114	0.2304	0.08049996650682169	0.17274620041720606	0.08049996650682169	0.1698670970769193
CACNA1H	ENSG00000196557	False	16	+	7092	5	2	1	483	68.2842712474619	0.116	0.2304	0.08100002960048716	0.17274620041720606	0.08100002960048716	0.1698670970769193
CAPZA1	ENSG00000116489	False	1	+	858	2	2	1	477	170.71067811865476	0.116	0.2304	0.08199998242648501	0.17274620041720606	0.08199998242648501	0.1698670970769193
DSEL	ENSG00000171451	False	18	-	3666	2	2	1	443	170.71067811865476	0.114	0.2304	0.08249997675671635	0.17274620041720606	0.08249997675671633	0.1698670970769193
COL5A1	ENSG00000130635	False	9	+	5583	8	2	1	466	42.67766952966369	0.108	0.2304	0.08363835259852649	0.17274620041720606	0.08378784529824966	0.1698670970769193
BTF3	ENSG00000145741	False	5	+	618	2	2	1	457	170.71067811865476	0.119	0.2304	0.08399999048878731	0.17274620041720606	0.08399999048878731	0.1698670970769193
DST	ENSG00000151914	False	6	-	28537	7	2	1	485	48.77447946247278	0.121	0.2304	0.08500001449107228	0.17274620041720606	0.08500001449107228	0.1698670970769193
NOS1	ENSG00000089250	False	12	-	4460	5	2	1	467	68.2842712474619	0.118	0.2304	0.08549998210829322	0.17274620041720606	0.08549998210829322	0.1698670970769193
TGM5	ENSG00000104055	False	15	-	2160	3	2	1	475	113.80711874576981	0.127	0.2304	0.08550000911411801	0.17274620041720606	0.08550000911411801	0.1698670970769193
OR2M2	ENSG00000198601	False	1	+	1041	2	2	1	460	170.71067811865476	0.118	0.2304	0.08599993126877784	0.17274620041720606	0.08599993126877784	0.1698670970769193
KLK1	ENSG00000167748	False	19	-	786	2	2	1	424	170.71067811865476	0.124	0.2304	0.08599993992637611	0.17274620041720606	0.08599993992637611	0.1698670970769193
LRMP	ENSG00000118308	False	12	+	1545	2	2	1	472	170.71067811865476	0.128	0.2304	0.08600014775870275	0.17274620041720606	0.08600014775870275	0.1698670970769193
MAPT	ENSG00000186868	False	17	+	2432	3	2	1	410	113.80711874576981	0.124	0.2304	0.08649991515473783	0.17274620041720606	0.08649991515473783	0.1698670970769193
FOXS1	ENSG00000179772	False	20	-	990	3	2	1	411	113.80711874576981	0.127	0.2304	0.08999989957789765	0.17274620041720606	0.08999989957789765	0.1698670970769193
THRAP3	ENSG00000054118	True	1	+	2865	2	2	1	418	170.71067811865476	0.12	0.2304	0.09049985277863189	0.17274620041720606	0.09049985277863189	0.1698670970769193
DTL	ENSG00000143476	False	1	+	2190	2	2	1	420	170.71067811865476	0.134	0.2304	0.09249994492866619	0.17274620041720606	0.09249994492866617	0.1698670970769193
IKBKB	ENSG00000104365	True	8	+	2788	2	2	1	413	170.71067811865476	0.135	0.2304	0.0929999773493759	0.17274620041720606	0.0929999773493759	0.1698670970769193
ZNF585A	ENSG00000196967	False	19	-	2310	3	2	1	476	113.80711874576981	0.131	0.2304	0.09449996387867392	0.17274620041720606	0.09449996387867392	0.1698670970769193
GNL3	ENSG00000163938	False	3	+	1648	3	2	1	500	113.80711874576981	0.141	0.2304	0.09549990141180223	0.17274620041720606	0.09549990141180223	0.1698670970769193
NCOA6	ENSG00000198646	False	20	-	6189	3	2	1	452	113.80711874576981	0.132	0.2304	0.09649990961647097	0.17274620041720606	0.09649990961647095	0.1698670970769193
HIST1H1E	ENSG00000168298	False	6	+	657	2	2	1	535	170.71067811865476	0.141	0.2304	0.09800024831360728	0.17274620041720606	0.09800024831360728	0.1698670970769193
MYBPH	ENSG00000133055	False	1	-	1431	2	2	1	406	170.71067811865476	0.144	0.2304	0.10050027786599301	0.1742004816343879	0.10050027786599301	0.17134473603382414
CEP63	ENSG00000182923	False	3	+	2205	2	2	1	389	141.42135623730948	0.126	0.2304	0.10351799078033735	0.17648968919926367	0.10351799078033735	0.17364308130895298
FBXO3	ENSG00000110429	False	11	-	1470	2	2	1	401	141.42135623730948	0.132	0.2304	0.11052958350981308	0.18540446266162194	0.11052958350981308	0.18246153468286605
DIDO1	ENSG00000101191	False	20	-	6888	4	2	1	418	70.71067811865474	0.142	0.2304	0.11902356104048875	0.19648333886048938	0.11902356104048878	0.19043769766478205
OR51I2	ENSG00000187918	False	11	+	936	2	2	1	396	141.42135623730948	0.147	0.23163636363636364	0.12101977154681	0.19665712876356622	0.12101977154681	0.190697821831337
RNF213	ENSG00000173821	True	17	+	16143	10	2	1	432	28.2842712474619	0.156	0.2351304347826087	0.1260284768948836	0.20164556303181377	0.1260284768948836	0.19562629249355068
SLC11A1	ENSG00000018280	False	2	+	1689	2	2	1	407	141.42135623730948	0.152	0.2351304347826087	0.13002961004605612	0.20489514310287632	0.13002961004605615	0.19886881536455647
PCDH9	ENSG00000184226	False	13	-	3771	6	2	1	583	56.90355937288491	0.142	0.2304	0.1369492736875096	0.21257797706717904	0.08250003861106715	0.1698670970769193
PCDHB7	ENSG00000113212	False	5	+	2379	8	2	1	865	50.0	0.156	0.2351304347826087	0.14667443615328274	0.222920604050619	0.0400000332434424	0.1698670970769193
HECTD4	ENSG00000173064	False	12	-	13067	5	3	1	631	102.46783890915302	0.099	0.2304	0.14914486736543792	0.222920604050619	0.11372729327559879	0.184806851572848
LPHN2	ENSG00000117114	False	1	+	4553	4	2	1	464	70.71067811865474	0.167	0.24461971830985915	0.15004271426483973	0.222920604050619	0.15004271426483973	0.21672836504921295
ATP10D	ENSG00000145246	False	4	+	4293	2	2	1	402	120.71067811865473	0.185	0.264986301369863	0.15900235826041595	0.23182764290437372	0.15900235826041598	0.2255620309339852
SCGN	ENSG00000079689	False	6	+	828	2	2	1	412	120.71067811865473	0.186	0.264986301369863	0.16049606047225873	0.23182764290437372	0.1604960604722587	0.2255620309339852
OBSCN	ENSG00000154358	False	1	+	28135	9	2	1	402	31.426968052735443	0.199	0.2736842105263158	0.16505316636632061	0.23514423701503212	0.16505316636632061	0.22887372402796458
ARID1A	ENSG00000117713	True	1	+	6855	4	2	1	417	60.35533905932736	0.196	0.2736842105263158	0.1715018100680647	0.24057456826975224	0.1715018100680647	0.2343258781848236
DACH2	ENSG00000126733	False	X	+	1829	2	2	1	435	120.71067811865473	0.2	0.2736842105263158	0.17349127519453286	0.24057456826975224	0.17349127519453286	0.2343258781848236
LRCH3	ENSG00000186001	False	3	+	2538	2	2	1	433	120.71067811865473	0.211	0.28498701298701296	0.18499221979533456	0.25314724814098416	0.18499221979533456	0.2466562930604461
SLC12A3	ENSG00000070915	False	16	+	3090	3	2	1	409	66.66666666666664	0.229	0.30410126582278485	0.2069022396549512	0.2733696034096121	0.2069022396549512	0.2606270773566748
ACVR2A	ENSG00000121989	True	2	+	1539	2	2	1	411	99.99999999999997	0.231	0.30410126582278485	0.20939359772450042	0.2733696034096121	0.20939359772450042	0.2606270773566748
NLRP9	ENSG00000185792	False	19	-	3088	4	3	1	571	90.55131913586604	0.164	0.24365714285714285	0.20994014126305652	0.2733696034096121	0.20915323470345004	0.2606270773566748
SPTA1	ENSG00000163554	False	1	-	7257	6	2	1	512	40.23689270621824	0.259	0.3245301204819277	0.21050648555731424	0.2733696034096121	0.21050648555731424	0.2606270773566748
MEX3C	ENSG00000176624	False	18	-	2129	6	2	1	498	40.23689270621824	0.237	0.3081	0.2129128641940248	0.2733696034096121	0.20127012737445885	0.2606270773566748
GRIK2	ENSG00000164418	False	6	+	2992	4	2	1	811	85.35533905932738	0.251	0.31834146341463415	0.22978157147442033	0.29143028577243557	0.14200001419202038	0.21097144965671596
UBASH3B	ENSG00000154127	False	11	+	1947	3	2	1	403	66.66666666666664	0.265	0.3280952380952381	0.24140096874828373	0.3014198404859192	0.2414009687482838	0.2944100767536885
WDR45	ENSG00000196998	False	X	-	1544	2	2	1	436	99.99999999999997	0.271	0.3315764705882353	0.24345448654631935	0.3014198404859192	0.24345448654631935	0.2944100767536885
GLI3	ENSG00000106571	False	7	-	4904	10	2	1	841	34.14213562373095	0.241	0.3094320987654321	0.2486684751414823	0.3042531931142842	0.14050000201187143	0.21097144965671596
KCNB2	ENSG00000182674	False	8	+	2733	5	2	1	571	56.5685424949238	0.282	0.3410232558139535	0.27026722577739715	0.32683478466103844	0.2700137608312586	0.3227750704189758
KCNA6	ENSG00000151079	False	12	+	1587	7	2	1	906	48.77447946247278	0.306	0.36579310344827587	0.2742925108512071	0.3278898980290292	0.19681225164474933	0.25909460976017634
MN1	ENSG00000169184	True	22	-	3960	2	2	1	388	70.71067811865474	0.316	0.3734545454545455	0.28699882537216587	0.3391804299852869	0.28699882537216587	0.3391804299852869
PRR11	ENSG00000068489	False	17	+	1170	4	2	1	471	42.677669529663675	0.329	0.384	0.2978966340937661	0.34810393197473793	0.2978966340937661	0.34810393197473793
SNAP25	ENSG00000132639	False	20	+	736	2	2	1	494	85.35533905932735	0.345	0.38999999999999996	0.3066727611513423	0.3543774128859955	0.30667276115134223	0.35437741288599545
GPR156	ENSG00000175697	False	3	-	2442	2	2	1	431	70.71067811865474	0.334	0.384	0.3150895222460256	0.3562496874267946	0.3150895222460256	0.3562496874267946
TRIM67	ENSG00000119283	False	1	+	2379	4	2	1	406	35.35533905932737	0.336	0.384	0.3151439542621644	0.3562496874267946	0.3151439542621644	0.3562496874267946
RDX	ENSG00000137710	False	11	-	1913	2	2	1	470	70.71067811865474	0.379	0.4149052631578948	0.3418936871466376	0.3810862812193901	0.3418936871466376	0.38108628121939003
PCDHA12	ENSG00000251664	False	5	+	2823	3	2	1	455	47.14045207910315	0.369	0.40825531914893615	0.34586184562583144	0.3810862812193901	0.3458618456258315	0.38108628121939003
GRM8	ENSG00000179603	False	7	-	2958	4	2	1	448	35.35533905932737	0.367	0.40825531914893615	0.34810766072925053	0.3810862812193901	0.3481076607292505	0.38108628121939003
WNT7A	ENSG00000154764	False	3	-	1047	2	2	1	423	60.35533905932736	0.396	0.42130612244897964	0.36712129253959075	0.3977147335845566	0.36712129253959075	0.3977147335845566
IMP3	ENSG00000177971	False	15	-	552	2	2	1	482	70.71067811865474	0.391	0.42130612244897964	0.37102509855687305	0.3978001056692247	0.3710250985568731	0.39780010566922475
TMEM52	ENSG00000178821	False	1	-	845	2	2	1	407	49.999999999999986	0.408	0.4286060606060606	0.38402608357081636	0.4075378846057643	0.3840260835708163	0.40753788460576423
CSMD3	ENSG00000164796	True	8	-	11179	6	2	1	421	16.66666666666666	0.422	0.43888	0.391883848026531	0.4116759615632245	0.3918838480265309	0.41167596156322445
FAM71B	ENSG00000170613	False	5	-	1815	5	2	1	650	34.142135623730944	0.397	0.42130612244897964	0.4110028023235412	0.42744291441648286	0.40733470717984294	0.42362809546703667
PCDHGA2	ENSG00000081853	False	5	+	2796	4	2	1	467	24.999999999999993	0.468	0.47717647058823537	0.43871011836287915	0.45106393609992856	0.4387101183628791	0.45106701962667667
TGFBR2	ENSG00000163513	True	3	+	1776	6	2	1	496	20.118446353109118	0.459	0.47263366336633666	0.4423896296364684	0.45106393609992856	0.4423926538646252	0.45106701962667667
SYNE1	ENSG00000131018	False	6	-	27319	5	2	1	532	19.999999999999996	0.533	0.5381747572815534	0.5006188084334976	0.5054791852144053	0.5006188084334975	0.5054791852144052
GPR133	ENSG00000111452	False	12	+	2959	7	2	1	797	28.571428571428562	0.659	0.659	0.6166468976407218	0.6166468976407218	0.6227108519095718	0.6227108519095718
MTOR	ENSG00000198793	True	1	-	7647	2	0	0		0						
SPEN	ENSG00000065526	True	1	+	11273	2	0	0		0						
NTRK1	ENSG00000198400	True	1	+	2519	3	0	0		0						
FCGR2B	ENSG00000072694	True	1	+	1119	2	0	0		0						
ZEB1	ENSG00000148516	True	10	+	3464	2	0	0		0						
CYP2C8	ENSG00000138115	True	10	-	1598	2	0	0		0						
NUP98	ENSG00000110713	True	11	-	5522	2	0	0		0						
FAT3	ENSG00000165323	True	11	+	13922	6	0	0		0						
ATM	ENSG00000149311	True	11	+	9168	5	0	0		0						
KMT2A	ENSG00000118058	True	11	+	12076	3	0	0		0						
PTPN6	ENSG00000111679	True	12	+	1994	2	0	0		0						
ARID2	ENSG00000189079	True	12	+	5522	2	0	0		0						
COL2A1	ENSG00000139219	True	12	-	4461	2	0	0		0						
KMT2D	ENSG00000167548	True	12	-	16659	4	0	0		0						
NACA	ENSG00000196531	True	12	-	6234	2	0	0		0						
GLI1	ENSG00000111087	True	12	+	3319	2	0	0		0						
CHST11	ENSG00000171310	True	12	+	1083	2	0	0		0						
LCP1	ENSG00000136167	True	13	-	1956	2	0	0		0						
DICER1	ENSG00000100697	True	14	-	5816	2	0	0		0						
BCL11B	ENSG00000127152	True	14	-	2682	2	0	0		0						
NTRK3	ENSG00000140538	True	15	-	2937	2	0	0		0						
AXIN1	ENSG00000103126	True	16	-	2644	2	0	0		0						
CREBBP	ENSG00000005339	True	16	-	7359	2	0	0		0						
MYH11	ENSG00000133392	True	16	-	5965	2	0	0		0						
CDH11	ENSG00000140937	True	16	-	2567	3	0	0		0						
ZFHX3	ENSG00000140836	True	16	-	11109	4	0	0		0						
FANCA	ENSG00000187741	True	16	-	4681	2	0	0		0						
MAP2K4	ENSG00000065559	True	17	+	1230	2	0	0		0						
NF1	ENSG00000196712	True	17	+	8698	4	0	0		0						
SMARCE1	ENSG00000073584	True	17	-	1373	2	0	0		0						
RNF43	ENSG00000108375	True	17	-	2648	6	0	0		0						
ZNF521	ENSG00000198795	True	18	-	4015	4	0	0		0						
VAV1	ENSG00000141968	True	19	+	2574	3	0	0		0						
MUC16	ENSG00000181143	True	19	-	43521	16	0	0		0						
JAK3	ENSG00000105639	True	19	-	3447	2	0	0		0						
CIC	ENSG00000079432	True	19	+	7618	2	0	0		0						
ERCC2	ENSG00000104884	True	19	-	2330	3	0	0		0						
DNMT3A	ENSG00000119772	True	2	-	2858	4	0	0		0						
BIRC6	ENSG00000115760	True	2	+	14571	3	0	0		0						
EML4	ENSG00000143924	True	2	+	2976	2	0	0		0						
BCL11A	ENSG00000119866	True	2	-	2604	3	0	0		0						
AFF3	ENSG00000144218	True	2	-	4152	3	0	0		0						
RGPD3	ENSG00000153165	True	2	-	5306	3	0	0		0						
RANBP2	ENSG00000153201	True	2	+	9672	2	0	0		0						
CXCR4	ENSG00000121966	True	2	-	1083	2	0	0		0						
LRP1B	ENSG00000168702	True	2	-	13911	8	0	0		0						
COL3A1	ENSG00000168542	True	2	+	4403	2	0	0		0						
SF3B1	ENSG00000115524	True	2	-	4036	3	0	0		0						
ERBB4	ENSG00000178568	True	2	-	3969	2	0	0		0						
PTPRT	ENSG00000196090	True	20	-	4449	4	0	0		0						
NFATC2	ENSG00000101096	True	20	-	2886	2	0	0		0						
CLTCL1	ENSG00000070371	True	22	-	4990	2	0	0		0						
MKL1	ENSG00000196588	True	22	-	3066	2	0	0		0						
EP300	ENSG00000100393	True	22	+	7242	3	0	0		0						
SRGAP3	ENSG00000196220	True	3	-	3328	2	0	0		0						
FANCD2	ENSG00000144554	True	3	+	4513	2	0	0		0						
FBLN2	ENSG00000163520	True	3	+	3957	3	0	0		0						
CTNNB1	ENSG00000168036	True	3	+	2343	3	0	0		0						
RHOA	ENSG00000067560	True	3	-	821	2	0	0		0						
PBRM1	ENSG00000163939	True	3	-	5112	2	0	0		0						
CACNA1D	ENSG00000157388	True	3	+	6944	2	0	0		0						
ROBO2	ENSG00000185008	True	3	+	4840	3	0	0		0						
GATA2	ENSG00000179348	True	3	-	1440	2	0	0		0						
ATR	ENSG00000175054	True	3	-	8001	3	0	0		0						
PIK3CA	ENSG00000121879	True	3	+	3206	5	0	0		0						
BCL6	ENSG00000113916	True	3	-	2118	2	0	0		0						
PTPN13	ENSG00000163629	True	4	+	7605	3	0	0		0						
FAT4	ENSG00000196159	True	4	+	15071	4	0	0		0						
FBXW7	ENSG00000109670	True	4	-	2612	2	0	0		0						
FAT1	ENSG00000083857	True	4	-	13860	3	0	0		0						
TERT	ENSG00000164362	True	5	-	3396	4	0	0		0						
CTNND2	ENSG00000169862	True	5	-	3675	2	0	0		0						
CDH10	ENSG00000040731	True	5	-	2364	3	0	0		0						
APC	ENSG00000134982	True	5	+	8748	3	0	0		0						
FLT4	ENSG00000037280	True	5	-	4114	5	0	0		0						
BMP5	ENSG00000112175	True	6	-	1362	2	0	0		0						
EPHA7	ENSG00000135333	True	6	-	2999	2	0	0		0						
CARD11	ENSG00000198286	True	7	-	3462	2	0	0		0						
TRRAP	ENSG00000196367	True	7	+	11655	2	0	0		0						
CNTNAP2	ENSG00000174469	True	7	+	4063	2	0	0		0						
KMT2C	ENSG00000055609	True	7	-	14916	3	0	0		0						
ARHGEF10	ENSG00000104728	True	8	+	4158	3	0	0		0						
NRG1	ENSG00000157168	True	8	+	3667	2	0	0		0						
WHSC1L1	ENSG00000147548	True	8	-	4415	2	0	0		0						
ANK1	ENSG00000029534	True	8	-	6109	3	0	0		0						
KAT6A	ENSG00000083168	True	8	-	6243	3	0	0		0						
PREX2	ENSG00000046889	True	8	+	4818	2	0	0		0						
CNBD1	ENSG00000176571	True	8	+	1691	2	0	0		0						
RUNX1T1	ENSG00000079102	True	8	-	2027	2	0	0		0						
FAM135B	ENSG00000147724	True	8	-	4267	5	0	0		0						
TNC	ENSG00000041982	True	9	-	6879	2	0	0		0						
NOTCH1	ENSG00000148400	True	9	-	7665	2	0	0		0						
P2RY8	ENSG00000182162	True	X	-	1077	2	0	0		0						
BCOR	ENSG00000183337	True	X	-	5339	2	0	0		0						
ATRX	ENSG00000085224	True	X	-	7534	3	0	0		0						
IRS4	ENSG00000133124	True	X	-	3771	2	0	0		0						
STAG2	ENSG00000101972	True	X	+	3804	2	0	0		0						
DCAF12L2	ENSG00000198354	True	X	-	1389	2	0	0		0						
BCORL1	ENSG00000085185	True	X	+	5355	2	0	0		0						
ATP2B3	ENSG00000067842	True	X	+	3822	3	0	0		0						
FLNA	ENSG00000196924	True	X	-	7941	5	0	0		0						
MIB2	ENSG00000197530	False	1	+	3309	2	0	0		0						
GABRD	ENSG00000187730	False	1	+	1356	2	0	0		0						
MMEL1	ENSG00000142606	False	1	-	2337	2	0	0		0						
MEGF6	ENSG00000162591	False	1	-	4789	5	0	0		0						
AJAP1	ENSG00000196581	False	1	+	1233	5	0	0		0						
RERE	ENSG00000142599	False	1	-	4724	2	0	0		0						
CA6	ENSG00000131686	False	1	+	1297	2	0	0		0						
KIF1B	ENSG00000054523	False	1	+	6991	3	0	0		0						
PTCHD2	ENSG00000204624	False	1	+	4214	4	0	0		0						
VPS13D	ENSG00000048707	False	1	+	13262	2	0	0		0						
AADACL3	ENSG00000188984	False	1	+	1054	2	0	0		0						
PRAMEF1	ENSG00000116721	False	1	+	1553	2	0	0		0						
PRAMEF11	ENSG00000204513	False	1	-	1308	3	0	0		0						
PADI3	ENSG00000142619	False	1	+	1992	2	0	0		0						
UBR4	ENSG00000127481	False	1	-	16025	4	0	0		0						
HSPG2	ENSG00000142798	False	1	-	13718	2	0	0		0						
CDC42	ENSG00000070831	False	1	+	836	2	0	0		0						
EPHA8	ENSG00000070886	False	1	+	3185	4	0	0		0						
EPHB2	ENSG00000133216	False	1	+	3236	4	0	0		0						
BAI2	ENSG00000121753	False	1	-	4908	3	0	0		0						
CSMD2	ENSG00000121904	False	1	-	11227	11	0	0		0						
GRIK3	ENSG00000163873	False	1	-	2808	4	0	0		0						
ZC3H12A	ENSG00000163874	False	1	+	1939	3	0	0		0						
MANEAL	ENSG00000185090	False	1	+	1371	2	0	0		0						
MACF1	ENSG00000127603	False	1	+	24224	6	0	0		0						
SZT2	ENSG00000198198	False	1	+	10167	2	0	0		0						
PTPRF	ENSG00000142949	False	1	+	5863	2	0	0		0						
OSBPL9	ENSG00000117859	False	1	+	2406	2	0	0		0						
ZCCHC11	ENSG00000134744	False	1	-	5182	2	0	0		0						
MROH7	ENSG00000184313	False	1	+	4144	2	0	0		0						
LEPR	ENSG00000116678	False	1	+	3756	2	0	0		0						
SGIP1	ENSG00000118473	False	1	+	2800	2	0	0		0						
WDR78	ENSG00000152763	False	1	-	2705	3	0	0		0						
LRRC7	ENSG00000033122	False	1	+	4729	4	0	0		0						
FPGT-TNNI3K	ENSG00000259030	False	1	+	2968	2	0	0		0						
TNNI3K	ENSG00000116783	False	1	+	3011	2	0	0		0						
C1orf173	ENSG00000178965	False	1	-	4616	3	0	0		0						
ELTD1	ENSG00000162618	False	1	-	2074	3	0	0		0						
COL24A1	ENSG00000171502	False	1	-	5142	5	0	0		0						
HFM1	ENSG00000162669	False	1	-	4306	2	0	0		0						
GLMN	ENSG00000174842	False	1	-	1836	2	0	0		0						
ABCA4	ENSG00000198691	False	1	-	7066	4	0	0		0						
DPYD	ENSG00000188641	False	1	-	3207	2	0	0		0						
LPPR4	ENSG00000117600	False	1	+	2353	2	0	0		0						
AGL	ENSG00000162688	False	1	+	4661	2	0	0		0						
